Titr,Lead,Date,Time,Tags
                 شکایت چهار کشور از ایران نزد دیوان بین‌المللی دادگستری             ,                  دولت اوکراین در ادامه نقش محول‌شده به این کشور برای پیشبرد جنگ ترکیبی علیه ایران از کشورمان نزد دیوان بین‌المللی دادگستری شکایت کرده است.                  ,"[29, 6, 2023]","[20, 5]","['اوکراین', 'کانادا', 'انگلیس', 'شکایت', 'ایران', 'دیوانبینالمللیدادگستری']"
                 تصاویر بهت آور از جاده چالوس             ,                  ما برای شما، در تابناک جوان هر روز گزید‌ه‌ای از آخرین اخبار و مطالب جذاب پیرامون موضوعات کسب و کار، رسانه، فرهنگ و هنر، خانواده، نشاط و سرگرمی، جامعه و ... را تولید و/یا ارائه می‌کنیم. «تابناک جوان» برای انتشار مطالب ارسالی شما نیز آمادگی دارد! روی تیتر‌ها کلیک کنید تا گزارش کامل گزیده خبر‌های «تابناک جوان» را بخوانید.                  ,"[16, 6, 2023]","[8, 4]","['تلخیغذا', 'آشپزی', 'گیلاس', 'قند', 'بیبیسی', 'جادهچالوس', 'تابناکجوان']"
                 انفجار هولناک یک سد بزرگ در اوکراین+ فیلم / درخواست اوکراین برای نشست فوری شورای امنیت درباره انفجار سد             ,                  چهارصد و شصت و سه روز از حمله روسیه به اوکراین با دستور ولادیمیر پوتین، رئیس جمهور این کشور می‌گذرد؛ تهاجمی که رویداد‌های بسیاری به دنبال داشته و منجر به تحریم گسترده روسیه از سوی بلوک غرب شده است و دورنمای مشخصی برای پایان آن نیز وجود ندارد.                  ,"[6, 6, 2023]","[19, 45]","['جنگاوکراین', 'روسیه', 'اروپا', 'آمریکا', 'ناتو', 'چین']"
                 اولین خرید بزرگ پرسپولیس برای فصل بعد             ,,"[7, 6, 2023]","[20, 6]","['علیقلیزاده', 'پرسپولیس', 'نقلوانتقالات']"
                 قابی پربازدید از زلنسکی؛ تنها در میان سران اروپا!             ,                  این قاب‌ از نشست سران ناتو، در فضای مجازی فراگیر شده، این در حالی است که به تازگی دست رد به سینه اوکراین خورده و صراحتاً از عضویت این کشور به ناتو ممانعت شده است. دلیل اما؛ قرار داشتن اوکراین در وضعیت جنگی است!                  ,"[12, 7, 2023]","[17, 42]","['زلنسکی', 'مکرون', 'اوکراین']"
                 هواپیمای خصوصی لژیونر ایرانی برای امضای قرارداد!             ,                  هافبک تیم ملی فوتبال ایران روز گذشته رسما راهی لخ‌پوزنان لهستان شد.                  ,"[12, 7, 2023]","[7, 23]","['علیقلیزاده', 'لخپوزنانلهستان', 'لیگلهستان']"
                 اعجازِ خداوند در معدن فیروزه             ,                  دهم تیر ماه بر اساس مصوبه شورای عالی انقلاب فرهنگی «روز صنعت و معدن» نامیده شده است. فیروزه یک سنگ قیمتی مات آبی رنگ است که در بسیاری از تمدن‌های تاریخی جهان از آن به عنوان یک سنگ تزئینی زیبا از معدن فیروزه استخراج می‌شده است. این سنگ با ترکیب آهن، سولفات مس، آلومینیوم و مولکول آب دارای رنگ منحصربفرد آبی است. معدن فیروزه نیشابور از کهن‌ترین معادن فیروزه جهان است که از ۲۰۰۰ سال پیش از آن سنگ فیروزه استخراج می‌شود. معدن فیروزه نیشابور مهم‌ترین معدن فیروزه جهان است نمونه‌های طبیعی-تاریخی فیروزهٔ نیشابور در موزه‌های لندن، زمین‌شناسی تهران نگهداری می‌شود. / باشگاه خبرنگاران جوان                  ,"[1, 7, 2023]","[21, 0]","['نیشابور', 'معدنفیروزه', 'سنگقیمتی', 'استخراج', 'کارگرانمعدن']"
                 التماس دعای متفاوت یک دانش آموز پای برگه امتحانی             ,                  در بسته زیر اخبار و محتوا‌های آموزشی پیرامون «آمار و ارقامی ترسناک از شهریه چند ده میلیونی مدارس غیرانتفاعی»، «۱۲ عکس ترسناک که موی تنتان را سیخ می کند»، «فیلم عاقبت خنده دار تک چرخ زدن جلوی مدرسه دخترانه؛ پسر مگه مجبوری؟!»، «در عربی چگونه اسم جمع ساخته می شود؟»، «آغاز هفته با حافظ شیرازی؛ ساقی بیا که یار ز رخ پرده بر گرفت»، «مهارت بصری؛ در کمتر از ۲۵ ثانیه ۶ تفاوت دو عکس را پیدا کنید»، «طرز تهیه آب زرشک طبیعی مناسب فصل گرم سال»، «انواع سردرد و روش‌های درمان دارویی و خانگی»، «بهترین روش تمیز کردن و شستن توت فرنگی» را با کلیک بر تیتر آن بخوانید.                  ,"[4, 6, 2023]","[17, 52]","['مدرسهآنلاین', 'شهریه', 'مدارسغیرانتفاعی', 'عکسترسناک', 'مدرسهدخترانه', 'عربی', 'حافظ', 'زرشک', 'سردرد', 'توتفرنگی']"
                 فیلمی جالب از نمرات کارنامه دانشجوی فرهنگیان             ,                  در بسته زیر اخبار و محتوا‌های آموزشی پیرامون «فیلمی از اظهارات جنجالی رائفی پور در عربستان؛ یک بار برای همیشه مشکل را حل کنید!»، «معلمان در فضای مجازی مدیریت می شوند»، «دانش‌آموزان پایه نهم از کی می توانند انتخاب رشته کنند؟»، «فیلمی جالب از انتشار کارنامه دانش آموز توسط معلم»، «اگه هوش خلاقت خیلی بالاست با برداشتن نُه چوب کبریت همه ی مربع‌ها رو حذف کن!»، «آیا سوفیا لورن برای احمدرضا احمدی نامه نوشته بود؟»، «پنج ورزشی که کودکان به راحتی می‌توانند هر جایی انجام دهند»، «ماشین سانتافه مهراب قاسمخانی در دیوار به فروش می رسد»، «فیلمی از اجرای موج مکزیکی توسط دانش آموزان در کلاس» را با کلیک بر تیتر آن بخوانید.                  ,"[12, 7, 2023]","[19, 0]","['مدرسهآنلاین', 'سایتخبریمدرسهآنلاین', 'شهریهمدارس', 'کارنامه', 'هوش', 'چوبکبریت', 'سانتافه', 'موجمکزیکی', 'مهرابقاسمخانی']"
                 دارندگان این اسم و فامیل‌ها برای تغییر نام اقدام کنند             ,                  سازمان ثبت احوال کشور در سایت خود اعلام کرد که صاحبان این نام‌ها و نام‌های خانوادگی باید برای تغییر اسامی خود اقدام کنند.                  ,"[9, 7, 2023]","[8, 37]","['ثبتاحوال', 'تغییرنام', 'تغییرنامخانوادگی', 'شناسنامه']"
                 گاف سریال صداوسیما در انتخاب نام!             ,                  ما برای شما، در تابناک جوان هر روز گزید‌ه‌ای از آخرین اخبار و مطالب جذاب پیرامون موضوعات کسب و کار، رسانه، فرهنگ و هنر، خانواده، نشاط و سرگرمی، جامعه و ... را تولید و/یا ارائه می‌کنیم. «تابناک جوان» برای انتشار مطالب ارسالی شما نیز آمادگی دارد! روی تیتر‌ها کلیک کنید تا گزارش کامل گزیده خبر‌های «تابناک جوان» را بخوانید.                  ,"[11, 6, 2023]","[8, 2]","['قیمتطلا', 'سریال', 'گاف', 'تابناکجوان']"
                 گوشی جدید نوکیا مجیک مکس + ویژگی و قیمت             ,,"[7, 5, 2023]","[17, 5]","['بیتکوین', 'نبضفناوری', 'نوکیا', 'وزارتارتباطات', 'آیفون', 'اپل', 'اتریوم', 'قیمتبیتکوین', 'ارزدیجیتال', 'قیمتارزهایدیجیتال', 'رمزارز']"
                 اولین تصویر محمد صادقی ( بازیگر ) بعد از بازداشت             ,                  مرکز اطلاع رسانی فرماندهی انتظامی تهران بزرگ در بیانیه ای اعلام کرد نامبرده جهت سیر مراحل قضایی به مرجع قانونی تحویل داده شد.                  ,"[16, 7, 2023]","[19, 0]","['محمدصادقی', 'بازیگر', 'بازداشت']"
                 پاتک پرسپولیس به سپاهان؛ مغانلو جای آل‌کثیر             ,,"[11, 7, 2023]","[15, 5]","['عیسیآلکثیر', 'پرسپولیس', 'شهریارمغانلو']"
                 توییت دکتر رضایی در خصوص نامه تاریخی امام خطاب به فرماندهان سپاه             ,                  دکتر محسن رضایی با انتشار توییتی به نامه تاریخی حضرت امام(ره) خطاب به فرماندهان سپاه اشاره کرد و نوشت:                  ,"[4, 6, 2023]","[14, 21]","['محسنرضایی', 'معاوناقتصادیرییسجمهور', 'توییت']"
                 تفاوت ظاهری این مرد با عکس پاسپورتش سوژه شد             ,,"[14, 6, 2023]","[9, 5]","['پاسپورت', 'تابناکباتو', 'مظفرالدینشاه']"
                 طالبان در حال توزیع دلار بین مردم افغانستان             ,                  وزارت مهاجرین و عودت کنندگان افغانستان نوشت: بیش از ۲۰۰ خانواده ولایت لوگر مساعدت نقدی دریافت کردند.                  ,"[1, 6, 2023]","[11, 41]","['افعانستان', 'کابل', 'ولایتلوگر']"
                 نام گروهک تروریستی روی بند سلاح یکی از تروریست‌‎ها             ,                  روز گذشته در پی حمله تروریستی به کلانتری ۱۶ زاهدان، دو نفر از عوامل انتظامی به درجه رفیع شهادت نائل گشته و هر ۴ تروریست مسلح به هلاکت رسیدند، تصاویر جدید از این درگیری را اینجا ببینید. / فارس                  ,"[9, 7, 2023]","[23, 7]","['زاهدان', 'حملهتروریستی', 'گروهکتروریستی', 'جیشالظلم', 'جیشالعدل', 'سلاح']"
                 استقبال جمعیت از علی دایی در نمایشگاه صنایع غذایی             ,,"[18, 6, 2023]","[22, 45]","['علیدایی', 'نمایشگاهبینالمللی', 'صنایعغذایی']"
                 مهاجران افغان در حال خروج از ایران             ,                  وزارت مهاجرین و عودت کنندگان افغانستان نوشت: بیش از دو هزار پناهجوی افغان از ایران به وطن خود بازگشتند                  ,"[11, 6, 2023]","[12, 17]","['وزارتمهاجرینوعودتکنندگان', 'افغانستان', 'مهاجرت']"
                 چرا طالبان متقاضی بنزین ایران نیست؟             ,                  رئیس اتحادیه صادرکننده‌های فرآورده‌های نفتی گفت: کشورهای عراق و افغانستان اکنون بنزین مورد نیاز خود را از کشورهای ازبکستان و روسیه با استاندارد بالاتری تأمین بنزین می‌کنند به همین دلیل طالبان دیگر متقاضی بنزین ایران نیست.                  ,"[20, 6, 2023]","[6, 6]","['حمیدحسینی', 'بنزین', 'طالبان']"
                 مدال طلای ایران با اعتراض ترکیه پس گرفته شد!             ,,"[11, 7, 2023]","[10, 20]","['اماناللهپاپی', 'پارالمپیک', 'محمدخالوندی', 'پرتابنیزه']"
                 رمانتیک‌بازی همسر رضا گلزار در اینستاگرام             ,,"[22, 6, 2023]","[20, 40]","['سانفرانسیسکو', 'تابناکباتو', 'رضاگلزار']"
                 جدول لیگ ملت‌های والیبال بعداز هفته دوم             ,                  ایران در هفته سوم لیگ ملت‌ها باید در آمریکا به مصاف تیم‌های فرانسه، بلغارستان، آرژانتین و کوبا برود. باتوجه به جدول رده‌بندی، ایران کار سختی برای صعود به جمع ۸ تیم برتر این مسابقات دارد.                  ,"[26, 6, 2023]","[6, 36]","['تیمملیوالیبال', 'لیگملتهایوالیبال', 'جدوللیگملتها']"
                 گلایه‌های وزیر اسبق بهداشت پس از سه  سال سکوت             ,                  وزیر اسبق بهداشت گفت: مشکلات معیشتی فقط بخشی از مسائل و معضلات مردم در حاشیه شهرهاست و مسائل و آسیب های اجتماعی زیادی در این مناطق وجود دارد. جلوه های زشت مشکلات معیشتی مردم در این مناطق هر فطرت پاک انسانی را آزار می دهد.                  ,"[24, 6, 2023]","[21, 16]","['قاضیزادههاشمی', 'وزیراسبقبهداشت', 'معیشتمردم', 'مشکلاتاقتصادی', 'مناطقمحروم', 'آسیبهایاجتماعی']"
                 وضعیت جسمی فردوس کاویانی به روایت دخترش             ,                  بازیگر به‌یادماندنی سریال‌های تلویزیونی که مدت‌ها پیش به واسطه بیماری و چهره رنجورش بسیاری از دوستداران و اهالی هنر را با شوک مواجه کرده بود، این روزها به گفته دخترش شرایط نسبتا خوبی دارد.                  ,"[30, 5, 2023]","[10, 14]","['فردوسکاویانی', 'بازیگرپیشکسوت', 'وضعیتجسمانی', 'بیماری']"
