Top pages,Clicks,Impressions,CTR,service,category,bato
https://www.tabnak.ir/fa/news/1176019/آغاز-امتحانات-نهایی-از-امروز-و-چند-توصیه-به-دانش‌آموزان,2737,37760,7.25%,1,9,0
https://www.tabnak.ir/fa/news/1172497/حواشی-استیضاح-وزیر-صمت-از-ادعای-پس-گرفته-شدن-امضاها-تا-مانع-قانونی-برای-انتفای-استیضاح,2736,35396,7.73%,4,7,0
https://www.tabnak.ir/fa/news/1174960/تغییر-نام-معنادار-خیابان-جنب-سفارت-ژاپن-در-تهران,2735,40125,6.82%,1,0,0
https://www.tabnak.ir/fa/news/1182809/نرخ-مصوب-هرکیلو-مرغ-زنده-و-گرم-اعلام-شد,2730,33196,8.22%,1,9,0
https://www.tabnak.ir/fa/news/1175630/زمان-اعلام-نتایج-اولیه-کنکور-ارشد,2717,33982,8%,1,0,0
https://www.tabnak.ir/fa/news/1173605/غرق-شدن-بامزه-معلم-در-برف-شادی-در-روز-معلم,2713,38988,6.96%,1,5,0
https://www.tabnak.ir/fa/news/1182494/فیلم-معلم-خوش-ذوق-و-نقاشی-هنرمندانه-چهره-شاگردان,2711,30618,8.85%,1,4,0
https://www.tabnak.ir/fa/news/1181689/۸-عارضه-مصرف-بیش-از-حد-پنیر-از-چاقی-تا-سرطان,2707,35400,7.65%,1,9,0
https://www.tabnak.ir/fa/news/1183502/عيسی-پيراهن-دربی-را-از-هوادار-پس-گرفت-و-در-رفت,2705,62267,4.34%,2,2,0
https://www.tabnak.ir/fa/news/1173190/جشنواره-کولرگازی-و-اسپلیت-کم-مصرف-قسطی-بدون-بهره-در-تهران-و-کرج,2702,31098,8.69%,1,0,0
https://www.tabnak.ir/fa/news/1181745/ریزش-قیمت-ها-در-بازار-خودرو-جدول,2700,21870,12.35%,1,5,0
https://www.tabnak.ir/fa/news/1181815/شکست-سنگین-و-سریع-تیم-ایران-مقابل-فرانسه-بدون-سرمربی-و-ستاره-توپ‌ها-از-ایفل-رد-نشد,2698,35515,7.6%,2,5,0
https://www.tabnak.ir/fa/news/1181495/اختصاصی-تابناک-از-دلیل-کارشکنی-آمریکا-در-صدور-ویزای-تیم-ملی-والیبال-کتمان-تخلف-دو-سال-قبل-توسط-فدراسیون-ایران-در-فرودگاه-شیکاگو-چه-گذشت,2693,42433,6.35%,2,5,0
https://www.tabnak.ir/fa/news/1181050/افت-۵۰-هزاری-قیمت-سکه,2688,27193,9.88%,1,0,0
https://www.tabnak.ir/fa/news/1172757/نحوه-مصاحبه-علمی-پذیرفته‌شدگان-دکتری-اعلام-شد,2686,26563,10.11%,1,7,0
https://www.tabnak.ir/fa/news/1180491/کدام-نوشیدنی-کاهش-وزن-را-۲-برابر-می‌کند,2672,52239,5.11%,1,1,0
https://www.tabnak.ir/fa/news/1172537/بوتاکس-چه-خطرات-احتمالی-دارد,2670,24016,11.12%,1,7,0
